구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H309202307110780,남,60,J00106,고등학교,서울,강북구,서울,노원구,561100,청소원,,신입,J03402,승인,,,,,,35:29.0,35:33.0
H307202307110779,남,61,J00106,고등학교,서울,중랑구,서울,광진구,622902,승합차 운전원,,신입,J03402,승인,,,,,,35:24.0,35:28.0
H319202307110763,남,58,J00110,대학_대학교,서울,영등포구,서울,,562300,주차 관리?안내원,,신입,J03404,알선,,,,,,33:11.0,33:15.0
H317202307110749,남,68,J00102,초등학교,서울,구로구,서울,양천구,542001,아파트?빌라 경비원,,신입,J03402,승인,,,,,,29:56.0,30:02.0
H316202307110740,남,75,J00106,고등학교,서울,강서구,,,542001,아파트?빌라 경비원,7,7년0월,J03402,승인,,,,,,27:28.0,27:32.0
H305202307110727,남,57,J00106,고등학교,서울,광진구,서울,,561200,환경미화원 및 재활용품 수거원,,신입,J03404,알선,,,,,,22:53.0,22:59.0
H304202307110720,남,74,J00106,고등학교,서울,성동구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",7,7년0월,J03404,알선,,,,,,20:31.0,20:35.0
H320202307110713,남,63,J00110,대학_대학교,서울,,경기,,231100,사회복지사,,신입,J03402,승인,,,,,,19:45.0,19:52.0
H001202307110707,여,53,J00106,고등학교,서울,,,,561100,청소원,1,1년0월,J03402,승인,,,,,,16:04.0,03:38.0
H302202307110702,여,44,J00110,대학_대학교,서울,중구,서울,,25500,공공행정 사무원,0,0년3월,J03402,승인,,,,,,14:48.0,14:54.0
H101202307110690,남,60,J00110,대학_대학교,서울,,,,890006,식품 분야 단순 종사원,,신입,J03404,알선,,,,,,12:15.0,12:22.0
H325202307110681,남,68,J00106,고등학교,서울,강동구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,10:36.0,10:41.0
H309202307110676,남,66,J00112,석사과정,서울,강북구,서울,노원구,562300,주차 관리?안내원,,신입,J03402,승인,,,,,,10:10.0,10:14.0
H309202307110664,여,66,J00110,대학_대학교,서울,강북구,서울,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,07:50.0,07:54.0
H321202307110663,여,63,J00104,중학교,서울,관악구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03402,승인,,,,,,07:33.0,07:38.0
H317202307110662,남,64,J00110,대학_대학교,서울,구로구,서울,,834002,빌딩 전기관리원,,신입,J03404,알선,,,,,,06:53.0,06:58.0
H305202307110661,남,28,J00110,대학_대학교,서울,광진구,서울,,415502,게임 디자이너,,신입,J03404,알선,,,,,,06:48.0,06:20.0
H308202307110660,남,53,J00106,고등학교,서울,성북구,서울,,232903,장애인 생활지도원(장애인활동보조원 포함),,신입,J03404,알선,,,,,,06:25.0,06:29.0
H303202307110656,여,55,J00106,고등학교,서울,용산구,서울,마포구,617904,"기타 판매 단순 종사원(전단지배포, 벽보원, 물품 보관원)",5,5년0월,J03402,승인,요양보호사,생산직,,,,03:35.0,03:39.0
H323202307110650,남,75,J00106,고등학교,서울,강남구,서울,송파구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0년4월,J03404,알선,,,,,,02:37.0,02:41.0
H318202307110644,남,54,J00106,고등학교,서울,금천구,서울,,905002,"임업 단순 종사원(산림보호감시, 산불감시원 등)",,신입,J03402,승인,,,,,,01:33.0,01:37.0
H308202307110626,남,60,J00100,관계없음,서울,성북구,서울,,561100,청소원,,신입,J03402,승인,,,,,,56:32.0,56:36.0
H306202307110625,여,63,J00106,고등학교,서울,동대문구,서울,,550104,재가 요양보호사,0,0년6월,J03402,승인,,,,,,56:12.0,56:16.0
H103202307110609,남,64,J00110,대학_대학교,서울,강서구,,,550103,시설 요양보호사(노인요양사),,신입,J03402,승인,,,,,,52:24.0,52:29.0
H324202307110601,남,73,J00106,고등학교,서울,송파구,서울,강동구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",1,1년0월,J03402,승인,,,,,,51:19.0,51:23.0
H313202307110596,남,75,J00106,고등학교,서울,서대문구,서울,,542001,아파트?빌라 경비원,,신입,J03402,승인,,,,,,50:27.0,50:31.0
H103202307110576,여,67,J00106,고등학교,서울,강서구,서울,양천구,561100,청소원,14,14년0월,J03402,승인,,,,,,43:00.0,43:07.0
H316202307110556,여,58,J00108,전문대학,서울,강서구,서울,,231100,사회복지사,,신입,J03402,승인,,,,,,38:50.0,38:54.0
H324202307110539,여,80,J00106,고등학교,서울,송파구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,32:57.0,33:01.0
H308202307110516,남,55,J00100,관계없음,서울,성북구,서울,,622901,승용차 운전원(자가용 운전원),20,20년0월,J03402,승인,,,,,,27:09.0,27:13.0
H313202307110496,여,57,J00106,고등학교,서울,서대문구,,,307500,간호조무사,,신입,J03402,승인,,,,,,19:52.0,19:58.0
H305202307110485,여,76,J00102,초등학교,서울,광진구,,,561201,환경 미화원,,신입,J03402,승인,,,,,,16:37.0,16:42.0
H321202307110483,여,63,J00108,전문대학,서울,관악구,,,550104,재가 요양보호사,2,2년0월,J03404,알선,,,,,,11:18.0,03:58.0
H304202307110463,여,71,J00110,대학_대학교,서울,은평구,서울,,29505,사무 보조원(공공기관),4,4년0월,J03402,승인,,,,,,04:58.0,05:03.0
H120202307110462,여,73,J00102,초등학교,서울,마포구,서울,,561100,청소원,10,10년3월,J03402,승인,,,,,,03:29.0,03:33.0
H001202307110448,남,31,J00110,대학_대학교,서울,,경기,,26100,기획?마케팅 사무원,,신입,J03402,승인,,,,,,51:08.0,06:08.0
H001202307110438,남,36,J00108,전문대학,서울,도봉구,서울,,562902,환경 감시원,,신입,J03402,승인,,,,,,48:01.0,32:28.0
H001202307110386,남,33,J00110,대학_대학교,서울,,서울,마포구,531700,음료 조리사(바리스타 포함),,신입,J03402,승인,바리스타,브루잉,에스프레소,,,01:15.0,50:27.0
H001202307110377,남,60,J00106,고등학교,서울,강남구,서울,송파구,542000,경비원(건물 관리원),19,19년0월,J03402,승인,,,,,,36:48.0,23:36.0
H001202307110024,여,59,J00108,전문대학,서울,송파구,서울,강동구,562900,기타 서비스 단순 종사원,,신입,J03402,승인,,,,,,22:26.0,54:30.0
H001202307104080,남,56,J00106,고등학교,서울,강서구,서울,양천구,622300,화물차?특수차 운전원,15,15년0월,J03402,승인,운전,화물 운송,특수차,공무직,버스,52:09.0,57:57.0
H001202307104010,남,60,J00106,고등학교,,,,,541901,보안 관제원(경비 관제원),,신입,J03402,승인,,,,,,12:39.0,49:38.0
H001202307103773,여,55,J00110,대학_대학교,서울,,,,28101,무역 사무원(영어),,신입,J03402,승인,무역 사무원(영어),,,,,11:20.0,53:45.0
H001202307103664,여,29,J00110,대학_대학교,서울,,,,24402,전시?회의 기획자,2,2년0월,J03402,승인,,,,,,02:33.0,38:18.0
H001202307103615,여,64,J00108,전문대학,서울,광진구,,,550104,재가 요양보호사,6,6년0월,J03402,승인,요양보호사,치매,,,,35:33.0,30:25.0
H001202307103565,여,23,J00108,전문대학,서울,,,,135001,정보보호 전문가,,신입,J03405,알선대기,,,,,,14:56.0,11:11.0
H310202307103561,여,49,J00106,고등학교,서울,도봉구,서울,강북구,550104,재가 요양보호사,,신입,J03404,알선,,,,,,12:32.0,27:04.0
H303202307103535,여,68,J00104,중학교,서울,용산구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,08:11.0,08:16.0
H315202307103498,남,60,J00110,대학_대학교,서울,양천구,서울,강서구,542001,아파트?빌라 경비원,,신입,J03402,승인,,,,,,55:32.0,55:39.0
H311202307103459,여,71,J00106,고등학교,서울,노원구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,47:52.0,47:57.0
H323202307103455,여,55,J00110,대학_대학교,서울,강남구,서울,송파구,29505,사무 보조원(공공기관),1,1년0월,J03402,승인,,,,,,46:48.0,46:53.0
H321202307103451,여,56,J00108,전문대학,서울,관악구,,,550104,재가 요양보호사,0,0년1월,J03402,승인,,,,,,45:55.0,45:58.0
H307202307103449,여,60,J00106,고등학교,서울,중랑구,서울,,550104,재가 요양보호사,,신입,J03402,승인,,,,,,45:45.0,45:48.0
H105202307103443,남,69,J00106,고등학교,서울,관악구,서울,,622901,승용차 운전원(자가용 운전원),30,30년0월,J03402,승인,,,,,,44:55.0,45:05.0
H315202307103398,여,64,J00110,대학_대학교,서울,양천구,서울,강서구,307500,간호조무사,5,5년0월,J03404,알선,,,,,,34:50.0,34:57.0
H311202307103378,여,68,J00104,중학교,서울,노원구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,32:02.0,32:09.0
H304202307103357,여,63,J00102,초등학교,서울,성동구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",4,4년0월,J03402,승인,,,,,,27:03.0,27:07.0
H324202307103330,여,59,J00104,중학교,서울,송파구,서울,강동구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,1년1월,J03405,알선대기,,,,,,22:39.0,22:43.0
H001202307103322,남,44,J00106,고등학교,서울,구로구,서울,영등포구,622301,경?소형 화물차 운전원,5,5년2월,J03404,알선,경?소형 화물차 운전원,,,,,21:52.0,45:54.0
H325202307103290,여,68,J00106,고등학교,서울,강동구,서울,,550100,요양 보호사 및 간병인,,신입,J03402,승인,,,,,,14:40.0,14:44.0
H325202307103277,여,63,J00106,고등학교,서울,강동구,서울,,550104,재가 요양보호사,1,1년6월,J03404,알선,,,,,,13:00.0,13:05.0
H314202307103270,남,62,J00110,대학_대학교,서울,마포구,서울,서대문구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,12:14.0,12:18.0
H108202307103240,남,72,J00106,고등학교,서울,서대문구,서울,중구,542000,경비원(건물 관리원),7,7년0월,J03402,승인,,,,,,07:08.0,07:13.0
H305202307103238,여,64,J00106,고등학교,서울,광진구,,,550104,재가 요양보호사,6,6년2월,J03402,승인,,,,,,06:55.0,07:01.0
H306202307103223,여,74,J00104,중학교,서울,동대문구,서울,,550104,재가 요양보호사,1,1년0월,J03404,알선,,,,,,04:54.0,04:58.0
H001202307103212,여,24,J00110,대학_대학교,서울,,인천,,26103,영업 기획?관리?지원 사무원,,신입,J03402,승인,,,,,,03:47.0,21:06.0
H129202307103194,남,60,J00108,전문대학,서울,송파구,서울,,542000,경비원(건물 관리원),,신입,J03402,승인,,,,,,00:03.0,00:07.0
H001202307103191,여,50,J00110,대학_대학교,서울,,,,231100,사회복지사,,신입,J03402,승인,,,,,,59:39.0,13:37.0
H001202307103184,남,68,J00101,무학력,서울,양천구,서울,,561100,청소원,,신입,J03402,승인,,,,,,58:06.0,05:55.0
H322202307103173,여,69,J00106,고등학교,서울,서초구,서울,강남구,541904,레저?테마파크 안전요원,,신입,J03402,승인,,,,,,56:55.0,57:00.0
H129202307103161,남,65,J00106,고등학교,서울,송파구,서울,,550103,시설 요양보호사(노인요양사),12,12년0월,J03402,승인,,,,,,55:24.0,55:25.0
H323202307103106,여,65,J00104,중학교,서울,,강원,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,2년0월,J03404,알선,,,,,,47:20.0,47:24.0
H306202307103101,여,72,J00106,고등학교,서울,동대문구,서울,,562300,주차 관리?안내원,,신입,J03402,승인,,,,,,45:57.0,46:02.0
H314202307103081,남,57,J00108,전문대학,서울,마포구,서울,은평구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03402,승인,,,,,,41:49.0,41:54.0
H304202307103079,여,53,J00106,고등학교,서울,성동구,서울,중구,615106,의류 판매원,1,1년0월,J03404,알선,,,,,,41:46.0,41:51.0
H307202307103065,여,58,J00108,전문대학,서울,중랑구,서울,,550104,재가 요양보호사,8,8년0월,J03404,알선,,,,,,39:43.0,39:47.0
H308202307103059,여,65,J00104,중학교,서울,성북구,서울,강북구,550104,재가 요양보호사,1,1년0월,J03404,알선,,,,,,38:28.0,38:31.0
H303202307103042,남,66,J00110,대학_대학교,서울,용산구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,35:38.0,35:43.0
H307202307103027,여,69,J00102,초등학교,서울,중랑구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,5년0월,J03402,승인,,,,,,33:11.0,33:14.0
H314202307103023,여,58,J00106,고등학교,서울,마포구,서울,,561201,환경 미화원,2,2년0월,J03402,승인,,,,,,32:34.0,32:38.0
H310202307102992,여,64,J00110,대학_대학교,서울,도봉구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",3,3년0월,J03402,승인,한식조리기능사,,,,,28:26.0,28:33.0
H001202307102991,남,50,J00106,고등학교,서울,성동구,,,561201,환경 미화원,8,8년9월,J03402,승인,,,,,,28:23.0,04:08.0
H305202307102982,여,61,J00104,중학교,서울,광진구,,,550104,재가 요양보호사,2,2년0월,J03404,알선,,,,,,27:06.0,27:10.0
H310202307102973,여,65,J00104,중학교,서울,노원구,,,532302,단체 급식 보조원,,신입,J03404,알선,,,,,,25:47.0,25:52.0
H305202307102969,여,55,J00106,고등학교,서울,광진구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",4,4년0월,J03404,알선,,,,,,25:12.0,25:17.0
H315202307102963,여,63,J00106,고등학교,서울,양천구,,,550104,재가 요양보호사,,신입,J03402,승인,,,,,,24:28.0,24:32.0
H309202307102961,여,57,J00106,고등학교,서울,강북구,서울,전체,885902,주입?포장?상표부착기 등 기타 기계 조작원,0,신입,J03402,승인,,,,,,24:17.0,25:38.0
H311202307102956,여,50,J00108,전문대학,서울,노원구,,,615112,"잡화 판매원(사무용품,도서,음반 포함)",5,5년0월,J03402,승인,,,,,,23:36.0,23:40.0
H001202307102953,남,55,J00110,대학_대학교,서울,,경기,안양시,12200,경영지원관리자,24,24년8월,J03402,승인,경영기획,재무,회계,인사,총무,22:45.0,52:12.0
H001202307102948,남,46,J00110,대학_대학교,서울,,,,12200,경영지원관리자,8,8년0월,J03402,승인,경영지원관리자,전산자료 입력원(DB?단순자료),사회복지사2급,정보처리기사,공공기관,22:01.0,27:40.0
H305202307102945,여,66,J00102,초등학교,서울,광진구,,,550104,재가 요양보호사,7,7년0월,J03404,알선,,,,,,21:52.0,21:57.0
H312202307102943,여,61,J00104,중학교,서울,은평구,서울,,550104,재가 요양보호사,0,0년5월,J03402,승인,,,,,,21:40.0,21:45.0
H313202307102942,여,45,J00106,고등학교,서울,서대문구,서울,,27100,회계 사무원,10,10년0월,J03402,승인,,,,,,21:35.0,21:38.0
H321202307102927,여,73,J00102,초등학교,서울,관악구,서울,,550104,재가 요양보호사,13,13년0월,J03404,알선,,,,,,19:45.0,19:50.0
H305202307102926,남,60,J00106,고등학교,서울,광진구,서울,,702401,타일?대리석 시공원,30,30년0월,J03404,알선,,,,,,19:40.0,19:45.0
H314202307102908,여,61,J00104,중학교,서울,마포구,서울,,550104,재가 요양보호사,20,20년0월,J03404,알선,,,,,,17:19.0,17:24.0
H301202307102896,여,49,J00106,고등학교,서울,,,,561102,"호텔?콘도?숙박시설 청소원(룸메이드,하우스키퍼)",,신입,J03402,승인,,,,,,14:57.0,15:02.0
H129202307102893,남,67,J00104,중학교,서울,송파구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,14:39.0,14:44.0
H308202307102886,여,54,J00106,고등학교,서울,성북구,,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,13:31.0,13:35.0
H305202307102854,여,56,J00106,고등학교,서울,성동구,서울,광진구,550104,재가 요양보호사,,신입,J03402,승인,,,,,,09:02.0,09:08.0
H313202307102838,여,74,J00104,중학교,서울,서대문구,,,550104,재가 요양보호사,5,5년0월,J03404,알선,,,,,,06:36.0,06:40.0
H324202307102835,여,70,J00106,고등학교,서울,송파구,서울,강남구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",8,8년0월,J03404,알선,,,,,,06:14.0,06:18.0
H306202307102829,여,69,J00104,중학교,서울,동대문구,서울,,550104,재가 요양보호사,5,5년10월,J03402,승인,,,,,,05:14.0,05:18.0
H306202307102814,남,63,J00102,초등학교,서울,동대문구,서울,,561200,환경미화원 및 재활용품 수거원,,신입,J03402,승인,,,,,,02:38.0,02:42.0
H305202307102802,남,71,J00106,고등학교,서울,광진구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",10,10년0월,J03404,알선,,,,,,01:17.0,01:21.0
H317202307102798,남,70,J00104,중학교,서울,구로구,서울,영등포구,542003,공사현장 경비원,0,0년3월,J03402,승인,중국,,,,,00:55.0,00:59.0
H320202307102788,남,29,J00110,대학_대학교,서울,,,,28400,생산?품질 사무원,,신입,J03402,승인,,,,,,59:23.0,59:28.0
H321202307102787,여,49,J00110,대학_대학교,서울,관악구,서울,전체,231100,사회복지사,0,신입,J03402,승인,,,,,,59:16.0,57:57.0
H318202307102777,여,62,J00104,중학교,서울,금천구,,,541903,주차 단속원 및 안전 순찰원,,신입,J03402,승인,,,,,,57:51.0,57:55.0
H322202307102762,여,60,J00106,고등학교,서울,서초구,서울,강남구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,2년0월,J03404,알선,,,,,,55:41.0,55:46.0
H120202307102758,남,77,J00106,고등학교,서울,은평구,서울,마포구,542000,경비원(건물 관리원),10,10년0월,J03402,승인,,,,,,55:07.0,55:11.0
H313202307102749,남,65,J00106,고등학교,서울,서대문구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,53:25.0,53:30.0
H309202307102747,여,55,J00106,고등학교,서울,강북구,서울,성북구,550104,재가 요양보호사,,신입,J03404,알선,,,,,,53:04.0,53:08.0
H304202307102738,여,49,J00110,대학_대학교,서울,성동구,,,214106,영어 강사,15,15년0월,J03404,알선,,,,,,51:49.0,51:50.0
H318202307102718,여,32,J00106,고등학교,서울,금천구,서울,영등포구,307500,간호조무사,6,6년7월,J03402,승인,,,,,,48:33.0,11:37.0
H316202307102714,여,55,J00104,중학교,서울,강서구,서울,양천구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",4,4년0월,J03402,승인,,,,,,47:37.0,47:41.0
H317202307102703,여,68,J00102,초등학교,서울,구로구,서울,금천구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",25,25년0월,J03402,승인,,,,,,45:51.0,45:55.0
H310202307102701,여,62,J00102,초등학교,서울,도봉구,서울,,550104,재가 요양보호사,7,7년0월,J03404,알선,,,,,,45:42.0,45:46.0
H306202307102696,여,61,J00102,초등학교,서울,동대문구,서울,,550104,재가 요양보호사,,신입,J03402,승인,전농,답십리,장안1동,촬영소,,45:15.0,45:19.0
H319202307102669,여,66,J00104,중학교,서울,영등포구,서울,,550104,재가 요양보호사,5,5년0월,J03402,승인,신길1,신길7,대방,신길,치매,41:27.0,41:31.0
H307202307102657,여,72,J00102,초등학교,서울,중랑구,서울,,561100,청소원,3,3년0월,J03404,알선,,,,,,40:07.0,40:11.0
H318202307102656,남,63,J00104,중학교,서울,금천구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",4,4년0월,J03404,알선,,,,,,39:59.0,40:02.0
H318202307102650,남,67,J00104,중학교,서울,금천구,서울,구로구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,38:45.0,38:49.0
H304202307102643,남,65,J00110,대학_대학교,서울,광진구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,37:36.0,37:42.0
H316202307102640,남,71,J00104,중학교,서울,강서구,서울,양천구,561100,청소원,5,5년0월,J03402,승인,,,,,,36:51.0,36:55.0
H325202307102623,남,67,J00106,고등학교,서울,강동구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,34:29.0,34:35.0
H323202307102622,여,62,J00104,중학교,서울,금천구,서울,,550104,재가 요양보호사,8,8년0월,J03404,알선,,,,,,34:28.0,34:33.0
H314202307102614,여,59,J00106,고등학교,서울,마포구,서울,,616101,매장 계산원,9,9년0월,J03402,승인,,,,,,33:06.0,33:11.0
H311202307102611,남,70,J00104,중학교,서울,노원구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03404,알선,,,,,,32:48.0,32:53.0
H318202307102603,남,44,J00110,대학_대학교,서울,관악구,서울,금천구,15100,영업?판매 관리자,1,1년0월,J03402,승인,,,,,,31:50.0,31:55.0
H307202307102590,여,49,J00106,고등학교,서울,중랑구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,29:47.0,29:52.0
H320202307102588,남,68,J00101,무학력,서울,동작구,서울,관악구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03405,알선대기,,,,,,29:45.0,29:49.0
H320202307102562,여,62,J00106,고등학교,서울,동작구,,,550104,재가 요양보호사,0,0년3월,J03404,알선,,,,,,24:55.0,25:00.0
H001202307102559,남,64,J00104,중학교,,,,,561100,청소원,30,30년0월,J03402,승인,청소,미화,공공,주차관리,,24:42.0,31:37.0
H001202307102553,남,60,J00110,대학_대학교,서울,,,,521303,"박물관,미술관,문화,역사,자연환경 등 각종 해설사",,신입,J03402,승인,중국어,공공행정,사무원,상담사,해설사,24:08.0,25:47.0
H317202307102544,남,58,J00110,대학_대학교,서울,구로구,서울,양천구,214101,국어 강사,22,22년2월,J03402,승인,,,,,,22:51.0,22:58.0
H301202307102539,여,68,J00106,고등학교,서울,종로구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",7,7년0월,J03402,승인,,,,,,22:10.0,22:14.0
H001202307102494,남,60,J00110,대학_대학교,서울,구로구,서울,양천구,834002,빌딩 전기관리원,,신입,J03402,승인,전기,소방안전,응용어플리케이션 분석/설계,PLSQL,자바/서블릿개발,16:21.0,11:26.0
H319202307102482,남,71,J00104,중학교,서울,영등포구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,14:41.0,14:46.0
H310202307102477,여,71,J00104,중학교,서울,도봉구,서울,,550104,재가 요양보호사,12,12년0월,J03404,알선,,,,,,14:01.0,14:05.0
H319202307102475,남,74,J00106,고등학교,서울,영등포구,서울,구로구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",21,21년0월,J03404,알선,,,,,,13:22.0,13:25.0
H322202307102460,여,60,J00106,고등학교,서울,서초구,서울,강남구,901400,원예작물 재배원,,신입,J03402,승인,,,,,,11:45.0,11:49.0
H001202307102448,남,63,J00110,대학_대학교,서울,노원구,서울,중랑구,26101,경영 기획 사무원,35,35년0월,J03402,승인,,,,,,10:10.0,16:23.0
H318202307102447,여,58,J00106,고등학교,서울,금천구,,,550104,재가 요양보호사,8,8년0월,J03402,승인,,,단시간,,,10:07.0,10:10.0
H324202307102429,여,57,J00106,고등학교,서울,송파구,서울,강동구,550104,재가 요양보호사,1,1년6월,J03404,알선,,,,,,07:32.0,07:36.0
H319202307102415,남,57,J00106,고등학교,서울,영등포구,,,824102,"전기용접원(아크,알곤,티그용접원)",20,20년0월,J03402,승인,,,,,,05:35.0,05:42.0
H001202307102399,남,68,J00106,고등학교,서울,강남구,서울,영등포구,562300,주차 관리?안내원,2,2년0월,J03402,승인,주차 관리?안내원,경비원(건물 관리원),"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,,03:45.0,31:09.0
H325202307102395,여,67,J00102,초등학교,서울,강동구,,,561100,청소원,5,5년0월,J03404,알선,,,,,,03:32.0,03:36.0
H307202307102390,여,62,J00102,초등학교,서울,중랑구,서울,,550104,재가 요양보호사,2,2년3월,J03404,알선,,,,,,02:52.0,02:56.0
H324202307102388,남,26,J00110,대학_대학교,서울,송파구,서울,강동구,415400,시각 디자이너,,신입,J03404,알선,,,,,,02:37.0,02:42.0
H309202307102377,여,64,J00104,중학교,서울,강북구,,,550104,재가 요양보호사,5,5년0월,J03404,알선,,,,,,01:27.0,01:31.0
H001202307102370,여,50,J00110,대학_대학교,서울,,,,214404,기타 예능 강사(바둑?웅변?연기?꽃꽂이?종이접기 등),,신입,J03402,승인,,,,,,00:02.0,17:54.0
H319202307102364,남,61,J00106,고등학교,서울,영등포구,,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,학교,야간당직,당직,,,59:20.0,59:25.0
H325202307102361,여,66,J00110,대학_대학교,서울,강동구,서울,송파구,550200,육아 도우미(베이비시터),,신입,J03402,승인,,,,,,59:07.0,59:14.0
H305202307102354,남,63,J00106,고등학교,서울,광진구,서울,성동구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",3,3년0월,J03404,알선,,,,,,58:25.0,58:31.0
H001202307102350,여,59,J00101,무학력,서울,마포구,서울,용산구,532200,홀서빙원,15,15년0월,J03404,알선,,,,,,58:03.0,07:38.0
H317202307102336,남,69,J00106,고등학교,서울,구로구,서울,관악구,542000,경비원(건물 관리원),8,8년0월,J03404,알선,,,,,,56:23.0,56:26.0
